"room_name","refundable_rate","rate_id","stay_date","amount","breakfast","lunch","dinner","adultcount","childcount","infantcount","nights","ota_room_id","rate_update_id","refundable","rate_plan_code","date_update","availability","report_date"
"Classic Double","309.00","51867665594","2024-08-14","309.00",True,False,False,2,0,0,1,"606651","34810000022877",True,NULL,"2024-07-13 01:00:31",7,"2024-07-13"
"Classic Double","259.00","51867665571","2024-08-14","259.00",True,False,False,1,0,0,1,"606651","34810000022877",False,NULL,"2024-07-13 01:00:31",7,"2024-07-13"
"Classic Double","309.00","51867665623","2024-08-15","309.00",True,False,False,2,0,0,1,"606651","34810000022877",True,NULL,"2024-07-13 01:00:31",7,"2024-07-13"
"Classic Double","259.00","51867665603","2024-08-15","259.00",True,False,False,1,0,0,1,"606651","34810000022877",False,NULL,"2024-07-13 01:00:31",7,"2024-07-13"
"Classic Double","269.00","51867665619","2024-08-15","269.00",False,False,False,2,0,0,1,"606651","34810000022877",True,NULL,"2024-07-13 01:00:31",7,"2024-07-13"
"Classic Double","289.00","51867665607","2024-08-15","289.00",True,False,False,1,0,0,1,"606651","34810000022877",True,NULL,"2024-07-13 01:00:31",7,"2024-07-13"
"Classic Double","239.00","51867665611","2024-08-15","239.00",False,False,False,2,0,0,1,"606651","34810000022877",False,NULL,"2024-07-13 01:00:31",7,"2024-07-13"
"Classic Double","279.00","51867665615","2024-08-15","279.00",True,False,False,2,0,0,1,"606651","34810000022877",False,NULL,"2024-07-13 01:00:31",7,"2024-07-13"
"Classic Double","359.00","51867665647","2024-08-16","359.00",False,False,False,2,0,0,1,"606651","34810000022877",True,NULL,"2024-07-13 01:00:31",7,"2024-07-13"
"Classic Double","399.00","51867665650","2024-08-16","399.00",True,False,False,2,0,0,1,"606651","34810000022877",True,NULL,"2024-07-13 01:00:31",7,"2024-07-13"
"Classic Double","379.00","51867665632","2024-08-16","379.00",True,False,False,1,0,0,1,"606651","34810000022877",True,NULL,"2024-07-13 01:00:31",7,"2024-07-13"
"Classic Double","369.00","51867665640","2024-08-16","369.00",True,False,False,2,0,0,1,"606651","34810000022877",False,NULL,"2024-07-13 01:00:31",7,"2024-07-13"
"Classic Double","349.00","51867665627","2024-08-16","349.00",True,False,False,1,0,0,1,"606651","34810000022877",False,NULL,"2024-07-13 01:00:31",7,"2024-07-13"
